InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,InvoiceDay,Total_Spend,Day_Of_Week,Hour,Year,Month,cluster
210268,SKU_1087,USB Cable,25,2020-01-01 06:00:00,85.74,46567.0,Belgium,0.15,Bank Transfer,12.92,Stationery,Online,Not Returned,FedEx,Amsterdam,High,2020-01-01,2143.5,2,6,2020,1,2
832180,SKU_1597,Notebook,8,2020-01-01 07:00:00,95.65,75098.0,Norway,0.04,Bank Transfer,6.48,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Low,2020-01-01,765.2,2,7,2020,1,0
154886,SKU_1907,Wireless Mouse,19,2020-01-01 08:00:00,98.19,87950.0,Belgium,0.05,paypall,12.56,Apparel,Online,Not Returned,UPS,Berlin,High,2020-01-01,1865.61,2,8,2020,1,1
187498,SKU_1450,Office Chair,41,2020-01-01 11:00:00,59.51,32466.0,Australia,0.39,Bank Transfer,12.0,Furniture,In-store,Not Returned,FedEx,Amsterdam,Low,2020-01-01,2439.91,2,11,2020,1,2
275203,SKU_1709,Headphones,3,2020-01-01 13:00:00,2.09,97817.0,Spain,0.47,Credit Card,19.22,Stationery,Online,Not Returned,Royal Mail,Paris,Low,2020-01-01,6.27,2,13,2020,1,1
141090,SKU_1656,Office Chair,7,2020-01-01 16:00:00,70.85,15473.0,Germany,0.0,Bank Transfer,23.66,Apparel,In-store,Not Returned,FedEx,Paris,High,2020-01-01,495.94999999999993,2,16,2020,1,1
421879,SKU_1578,Wall Clock,43,2020-01-01 20:00:00,77.17,24716.0,Norway,0.3,Bank Transfer,24.77,Accessories,In-store,Returned,FedEx,Berlin,Low,2020-01-01,3318.31,2,20,2020,1,2
818315,SKU_1463,Notebook,14,2020-01-01 21:00:00,66.89,16604.0,Norway,0.42,paypall,15.05,Furniture,Online,Not Returned,FedEx,Berlin,High,2020-01-01,936.46,2,21,2020,1,1
876997,SKU_1461,T-shirt,24,2020-01-01 23:00:00,70.01,14803.0,Norway,0.12,Credit Card,13.16,Stationery,Online,Not Returned,Royal Mail,Paris,Low,2020-01-01,1680.2400000000002,2,23,2020,1,2
203355,SKU_1326,USB Cable,33,2020-01-02 02:00:00,97.96,38576.0,Italy,0.23,Bank Transfer,7.25,Stationery,Online,Not Returned,Royal Mail,Paris,High,2020-01-02,3232.68,3,2,2020,1,2
335796,SKU_1473,Wall Clock,22,2020-01-02 03:00:00,28.73,60532.0,Netherlands,0.25,Credit Card,8.44,Apparel,Online,Not Returned,FedEx,Rome,Medium,2020-01-02,632.0600000000001,3,3,2020,1,1
